,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,class,Cluster,name
26708,0.408275788,0.004562661,0.004104246,0.050139132,-0.049014583,0,0.000321607,0.001002783,0,0.000931155,0.000816552,0.909688594,0.028650932,7,1,Caravan
15160,0.3754126,0.002529703,0.005417493,0.034653471,-0.032406771,0,0.000542904,4.86E-05,6.24E-09,0.004655116,0.003372938,0.925316977,0.023102314,1,2,"""Variations and Fugue in E-Flat Major, Op. 35 """"Eroica Variations"""": Variation XV"""
64342,0.383797449,0.006426863,0.005024258,0.048846948,-0.035260518,0,0.00071177,0.002923839,0,0.000669203,0.005847677,0.920967336,0.027912542,1,2,Dünya Tatlısı
16239,0.449481473,0.003920068,0.004605343,0.051579841,-0.036474316,0.007368549,0.000215898,0.000471587,0,0.001643186,0.001657923,0.89051122,0.029474195,3,0,Ankhen Badi Hai Naimat Baba
29102,0.441007633,0.005665827,0.007056122,0.014949411,-0.011518521,0,0.00052024,0.00070935,4.85E-08,0.003004832,0.005202395,0.896740436,0.029898823,3,0,"""Puccini: Madama Butterfly, Act 1: """"Ieri son salita tutta sola"""" (Butterfly"
37075,0.381528356,0.002948174,0.005674367,0.076305671,-0.03994255,0.006936879,0.000270538,3.79E-07,2.98E-08,0.000749183,0.002684572,0.919864867,0.027747517,1,2,Shut Down - Remastered 2001
12649,0.60677979,0.00761384,0.007015372,0.058184363,-0.03297391,0.008312052,0.001961644,0.000327495,0,0.000646678,0.004870862,0.791224222,0.033248208,0,4,Chili Con Conga
65505,0.393410141,0.005140559,0.004904513,0,-0.045406087,0.006556836,0.00155397,0.000548807,0,0.001567084,0.003468566,0.917806189,0.026227343,1,2,Rhythm Is A Dancer
60506,0.528926315,0.004779227,0.008179468,0.018890226,-0.052052016,0.009445113,0.000588431,0.000303188,1.28E-06,0.004391977,0.006205439,0.845875965,0.037780451,0,4,(I'll Never Be) Maria Magdalena - Single Verison
42720,0.566890044,0.004502257,0.006301517,0.041078989,-0.033619044,0,0.000500342,2.77E-05,1.45E-07,0.001487059,0.002481171,0.821382595,0.032863191,0,4,"""Moonchild - Including """"The Dream"""" and """"The Illusion"""""""
48840,0.448791569,0.006417719,0.004793094,0.06283082,-0.058648082,0.008975831,0.000371599,0.004452012,0,0.001050172,0.003060759,0.888670138,0.035903326,7,1,Todo Estará en Paz
49751,0.292145807,0.003331586,0.00483726,0.033709132,-0.025613322,0,0.00019158,5.73E-05,4.78E-06,0.000601146,0.004595678,0.955142625,0.022472754,4,3,Another Star
5982,0.373105865,0.004345586,0.006723221,0.014631603,-0.046726023,0.007315801,0.000418464,0.000322627,6.72E-08,0.001302213,0.003870059,0.925960968,0.029263205,1,2,Cholita Kihui
16158,0.555299901,0.007157199,0.006998542,0.008814284,-0.027103924,0.008814284,0.001366214,0.001436728,0,0.001154671,0.005041771,0.830287938,0.035257137,0,4,Chandni Hai Mausamen Barsat Hai
39892,0.412824311,0.004921513,0.006435202,0.05666216,-0.048454242,0.008094594,0.000229886,0.004646297,5.21E-08,0.006669946,0.002614554,0.907064052,0.032378377,7,1,A Most Peculiar Man
24999,0.606830915,0.005319454,0.005564769,0.012911296,-0.022104139,0.006455648,0.000813412,4.91E-05,8.52E-07,0.001956061,0.005170974,0.793915595,0.025822592,0,4,Natchez
72121,0.590317767,0.004410676,0.003051831,0.066828427,-0.073511269,0.011138071,0.000327459,0.007729821,0,0.001436811,0.001648435,0.799657813,0.044552284,0,4,I'm On Fire - Live
51031,0.559886809,0.007454179,0.007278529,0.010978173,-0.082588793,0,0.0005533,0.004007033,0,0.001536944,0.006081908,0.823099478,0.043912691,0,4,Pulled Up - 2005 Remaster
